Örnek İndeksi,Gerçek Etiket,Modelin Tahmini,Metin
28,Positive,Negative,"The main reason to see this film is Warren William, who is in top form as the shyster campaign manager. He is electric, constantly finding ways to fool the public and defeat the opposing party in the midst of the biggest disasters. William is a great actor -- I feel he never got his due. Bette Davis as his girlfriend also shines in an under-written role. Personally, I found Guy Kibbee not quite right as the lame-brained candidate that William and the others are trying to foist on the public. He seemed more like an empty canvas than a person. I would have preferred to see a real character emerge rather than a non-character. The story itself is implausible, silly and clichéd. But Warren William and Bette Davis are well worth watching."
32,Negative,Positive,"Only the glandular secretions -- and please don't ask for any more details -- of young virgins can keep the rapidly deteriorating body and mind of the crazed old amateur horticulturalist's wife fresh and youthful. Since, like most people except those taking part in medical trials, virgins seldom give up their secretions willingly, Dr. Lorenz (Bela Lugosi) arranges for them to be abducted and preserved. He'll do the extracting himself. <br /><br />What a great cheese ball of a premise for a low budget horror movie. If The Corpse Vanishes turns out not to be the Havarti of horror, as a plain limburger it leaves an interesting aftertaste. <br /><br />Sure, the acting is almost awful except for the actors fortunate enough to be playing the crazed dwarf (Angelo Rossitto, who later played The Master in Mad Max Beyond Thunderdome); his crazed brute of a brother, Angel (Frank Moran), who grunts a lot and has a fetish for the virgins' hair; the crazed mother of the two (Minerva Urecal); the crazed wife (Elizabeth Russell), who sleeps in a plush coffin and, of course, the crazed doctor (Lugosi). <br /><br />An enterprising young reporter, Patricia Hunter (Luana Walters) tracks down the doctor because of a strange orchid with a peculiarly sweet odor that had been worn by the victims. When the doctor and his wife invite Pat to stay the night, a raging storm immediately breaks out. That clue tells us some raging violence is about to erupt inside. Since it's well known that in Hollywood at this time all unmarried young women were virgins, Pat may have some unpleasant surprises to deal with. They include dark passages, a crusty laboratory where a near dead virgin is stored, a basement mausoleum and, later, a direct threat to Patricia's own glandular secretions. If she survives, what a story she'll have to give her editor. <br /><br />If you sample this moist slice of moldy Velveeta (and why not? Don't be superior), don't judge Bela Lugosi by the company he keeps here. He had a huge impact in Dracula (1931), but my favorite movie of his is The Black Cat (1934). As Dr. Vitas Werdegast he's a sad, ironic man protective of his two young friends. When he finally takes a scalpel to Hjalmar Poelzig (Boris Karloff) and begins to flay the man alive, ah, well, it's a great scene."
36,Negative,Positive,"Lots of flames, thousands of extras in battle scenes, lots of beautiful sets. I don't think the plot supported such a vast expenditure. The story could have been told far more effectively and have been more valid, psychologically if there weren't so much macho bombast in the production. Chinese movies tend to be this way, in my experience. and I think this detracts from the film."
38,Positive,Negative,"The first installment of this notorious horror series is presented as if it were a snuff film discovered by the producers and set up like an amateur camcorder tape, complete with a digital timer at the bottom of the frame. It presents a woman being kidnapped by a gang of black-clad men who torture her for several days before finally killing her. The hapless victim is beaten savagely and pelted with raw meat before having her fingernails pulled out with pliers, her hand smashed with a hammer, her eye punctured with a needle, and so forth.<br /><br />In the most nauseating scene, the woman's captors burn her with hot water and drop live maggots into the burns. The series received a great deal of publicity when American actor Charlie Sheen, believing the series to contain actual murder, attempted to ban its distribution in the United States. An FBI investigation revealed that the films were only what they appeared to be to most viewers -- sick re-creations using nasty, but obvious special effects. Gruesomely staged by acclaimed Japanese comic-book artist Hideshi Hino, who also directed the third and fourth episodes, this film is a sure way to clear all but the most tolerant of rooms. But, gorehounds probably won't find anything special."
50,Positive,Negative,"This is not the kind of movie that really merits critical attention. It's not going to win any Oscars - it's really not a very good movie at all. Heck, it's not even really a movie - just a string of short disgusting, gross-out skits strung together in an effort to make entertainment. And as much as every critical bone in my body cries out to give this movie a failing score, gosh darn it, I'm going to give it a much better score. The kind of people who are going to enjoy this movie are not the kind of people who really care what critics have to say, so I'm not going to give some snobby critique of Jackass's quality of surreal existentialism that permeates and commentates on how our society....oh forget it.<br /><br />What's to say? There's no plot development, no character development - no real beginning - there's a semi-enjoyable end that's not nearly as funny as the skit that precedes it, and everything in between reeks of improper, bathroom humor that junior high kids laugh at. It's actually pretty funny.<br /><br />Leave at the door all your preconceptions of a good movie. Jackass: Number Two is just gross-out crap. That's really all it is. I do give the filmmakers this, though: they come up with some pretty imaginative stuff. You'll probably cringe several times throughout, want to throw up a couple times, wiggle and shift uncomfortably as the people on screen do death and vomit-defying stunts. Vomit, crap, urine, semen....virtually every bodily fluid can be seen in Jackass: Number Two. There's nudity, sexual humor abounds, and so on and so forth.<br /><br />It's entertaining. If you're the kind of person who finds this stuff enjoyable, then you will probably really like Jackass: Number Two. I laughed several times. Like I said, it's pretty imaginative stuff. I never once wanted to vomit - though I do have a pretty strong stomach. Just accept the movie's premise: a bunch of idiotic guys do weird crap for fun. Once you get past that, accepting it and going with it, you'll enjoy it. The only flaw in the movie is the sheer excess of all the weird and disgusting stuff. There are several very imaginative, very disturbing skits, but it drags in many places as they do ones that are less interesting. Towards the end things pick up, but in the middle of the movie the drag hurts the overall film's quality. In a half hour TV show this isn't a problem, but with film length celluloid, it's inevitable that boredom will ensue at some point. After awhile the gross crap just becomes desensitizing.<br /><br />On the whole, though, Number Two is an entertaining, imaginative, and above all, disgusting comedy that will leave you with a feeling of pain, nausea, and hilarity. Go see it if you must, but hey, if you know you don't like this kind of stuff, don't bother. You'll just be disappointed."
57,Negative,Positive,"It's a good thing The Score came along for Marlon Brando as a farewell performance because I'd hate to think of him going out on Free Money. Not what his fans ought to remember him by.<br /><br />Brando in his last years is looking more like Orson Welles and Free Money is the kind of film Welles would have done looking for financing of his own work. Brando is the warden of a local prison which in America, when it's located in a small rural setting is usually the largest employer in the area. That gives one who is in charge a lot of clout. <br /><br />Unfortunately he has one weakness he indulges, his two twin bimbos otherwise known as daughters. Even when they get simultaneously pregnant by a pair of losers, Charlie Sheen and Thomas Haden Church, their hearts still belong to Daddy.<br /><br />Not to fear because Brando's willing to give them jobs in the prison where they work under conditions not much better than the convicts have. What to do, but commit a robbery of a train which goes through the locality every so often carrying used money to be burned by the Treasury. <br /><br />Although Free Money has some moments of humor, for most of the time it's quite beneath the talents of all those involved. Some of them would include Donald Sutherland as an equally corrupt judge and Mira Sorvino as his stepdaughter, but also straight arrow FBI agent.<br /><br />Of course these people and the rest of the cast got to work with someone who many rate as the greatest American actor of the last century. Were it not for Brando's presence and were it some 40 years earlier, Free Money would be playing the drive-in circuit in red state America where the populace could see how they're being satirized.<br /><br />Or a feeble attempt is made to satirize them."
60,Negative,Positive,"This is defiantly a DVD rental movie. I'm a big fan of the cast members but the storyline never really grabbed me. Don't expect ""Oh brother where art thou"" in any way shape or form. Funniest part in my opinion is when the war hero explains what happens over in the Argon. Seems like they were trying to copy some of Clooney's funny facial expressions from ""Oh brother where art thou"" but you could kind of tell they were trying for that. John Krasinski was the bright spot and was solid throughout. Renee Zellweger plays the part of a zealous reporter willing to do whatever for the story. Overall it's a movie worth watching at home."
61,Positive,Negative,"At the end, it is clear that the murderers planted the murder weapon in Mrs. Columbo's car and it was at the police ballistics lab. <br /><br />But where did the gun under the hood, used in the demonstration, come from? Wouldn't the murderers have cleared out the stuff under the hood? They had a whole week? Or did Columbo's cops replicate the camera/gun under the hood used in the demonstration? How did they do that without breaking and entering the car? Perhaps this is why the murders seemed surprised at the end. But how could Columbo have replicated their camera/gun device and gotten it calibrated to their key fob? Columbo must have gotten the gun back from ballistics and had it re-planted under the hood of the car, and been very lucky that the rest of the device with camera was still there and transmitting.<br /><br />This was a 10/10 show until this glaring plot error at the end."
62,Positive,Negative,"I knew little of this movie when I entered the theatre for an advance screening. I gathered from the ads that it was a thriller.<br /><br />What we have is like ""Compulsion"" meets ""Matlock"". Two teens decide to commit a perfect murder. A victim is selected at random and then carefully executed so that no traces of the actual murderers is found. Then a bunch of false leads are planted that point to an innocent bystander. (Innocent of the murder anyway)<br /><br />Enter Sondra Bullock as the investigating officer. (IMDB says that she's FBI, but I don't remember that. I thought that she was a regular cop) She's frustrated by the inconsistency of the killers profile (""The profile doesn't fit the profile!"") and by the power and influence of the father of one of the boys.<br /><br />She's also has demons of her own which figure prominently in her decicision to become a cop. But this is the only character that is really more than one-dimensional. All others are pretty flat.<br /><br />For a thriller, there are really no big thrills. It's mostly a cat-and-mouse game like an episode of ""Matlock"" (which she's watching at one point in the film). The twist is that there are two involved in the killing. Just who is the real murderer, Justin or Richard? It'll cost you eight bucks to find out."
76,Negative,Positive,"I loved this movie when it first came out(but i was just 12 years old then - and I had forgotten this film existed until one day I found a used copy for sale at a gas station. I bought it and I couldn't wait to watch this film that had I loved as a kid, and then as I saw this film again many years later,it hit me.... Why in the world did I like this film as a Kid, watching it again as an adult I realized that this film is terrible. The saddest part about this film is that they had everything in place to make the greatest western ever and they blew it!!! the costumes are perfect,good actors, there are 2 music scores the orchestrail score is wonderful, and keeps with the classic spirit of the old timey Lone Ranger alive, the second score is a series of songs by country music artest like Merle Haggerd, and The Statler Brothers and those songs like ""The Man in the Mask"" are so bad that they are funny. This movies Strongest point is that it had a Briliant Storyline, and one of the best Western plots ever, and for a while its fun to watch as John Reid is nursed back to health,after he and his fellow Rangers are ambushed.Its fun to see him grow into his new life and Identity as the Lone Ranger,as he concels his identity, and goes on a revenge run to get the gang responsible for killing his brother and all his fellow rangers to whom he rode with. But unfortunatly,as good as the storyline is, its all ruined by Merle Haggard Narrating everything as you are watching it happen(for the love of God why did they do that?) between Merle Haggard's Narration and The Statler Brothers singing corny(stupid) songs like ""Ride little cowboy"" being playing in the backgound make this movie impossible to take serious. I would Love to see a really good producer take this same script and story and re-do this film right,because at the heart of this silly film is a great western.---I would descibe this film as a beautiful woman dress in the ugliest clothing. I give it 4 stars out of 10 --if your 12 years old, and dont know better, then you might love it."
88,Positive,Negative,"Sure this was a remake of a 70's film, but it had the suspense and action of a current film, say Breakdown. He's running, desperate to be with his hospitalized wife, the police are the least concern. The chases were very good, the part with him being<br /><br />cornered at a rest stop was well done, the end of the movie was a great cliffhanger. This is better than Bullitt, a boring movie with what, a muscle car chase that was filmed badly? Vigo's character knew what he had to do to escape Johnny Law, few movies had the effects-night vision, CB radio-okay I forgot the name of the movie, guy has 76'Caddy souped up, toys with guy he upset. The ending is great, you can't tell if he fakes his suicide or not, a very good did-he-make-it-or-not."
106,Negative,Positive,Story of an ex-Navy Seal who is now a combat medical officer assigned to a state of the art Russian sub with a nurse. This is to answer a call for help set off by a dying member of the original crew. The sub has been overtaken by terrorists who are bent on destruction. So we see the duo try and gain control back. And this happens with the fear of the US Naval Forces is about to unleashing everything it has got on the terrorist sub to prevent it from launching its arsenal. Be careful of the early explicit sexual scene in the first quarter of the movie. A couple of unexplained scenes towards the end. Watch it when you have the time. Nothing to miss out even if you let the show run while you go get yourself a cup of coffee: slow moving.
109,Positive,Negative,"This Stan Laurel comedy short is a cute little parody of the Valentino film BLOOD AND SAND. If you've seen BLOOD AND SAND, then you'll probably appreciate this film and laugh at a few of the scenes that mock the Valentino film. However, if you have not see that movie and just watch this film, you'll probably not be very impressed--though I really liked the title cards, us the word ""bull"" was used repeatedly in very funny ways.<br /><br />Stanly plays ""Vaselino"" a bullfighter who seems pretty dim-witted and wins only because the bulls seem to lazy and non-aggressive. Even the bull at the end of the film who has supposedly killed ten men is obviously just a domesticated bull.<br /><br />Not a great film by any stretch of the imagination, but still a cute and harmless film."
